query,mode,hash_join_count,bhj_hits,rows_out,cold_ms,warm_avg_ms,warm_min_ms,warm_max_ms
Q5,baseline,5,0,5,181.057,157.004,154.836,160.161
Q5,perfect,5,0,5,156.937,150.784,147.596,155.886
Q5,bitmap,5,4,5,158.504,158.4,157.072,159.534
Q9,baseline,5,0,175,378.239,355.095,353.934,356.069
Q9,perfect,5,0,175,335.52,331.645,326.751,335.831
Q9,bitmap,5,4,175,283.065,280.977,278.996,282.306
Q10,baseline,3,0,20,218.272,220.499,219.965,221.43
Q10,perfect,3,0,20,217.812,222.188,220.152,224.168
Q10,bitmap,3,2,20,233.698,232.873,231.199,233.802
