query,mode,hash_join_count,bhj_hits,rows_out,cold_ms,warm_avg_ms,warm_min_ms,warm_max_ms
Q5,baseline,5,0,5,181.639,156.968,153.508,158.788
Q5,perfect,5,0,5,162.483,156.739,155.477,159.127
Q5,bitmap,5,4,5,252.372,248.755,240.472,253.088
Q9,baseline,5,0,175,357.967,341.701,340.075,343.177
Q9,perfect,5,0,175,319.54,319.475,318.785,320.635
Q9,bitmap,5,4,175,264.007,264.954,264.931,264.99
Q10,baseline,3,0,20,223.391,219.774,215.779,227.465
Q10,perfect,3,0,20,222.063,221.91,219.122,224.266
Q10,bitmap,3,2,20,225.536,224.459,223.759,225.798
