query,mode,hash_join_count,bhj_hits,rows_out,cold_ms,warm_avg_ms,warm_min_ms,warm_max_ms
Q5,baseline,5,0,5,179.967,157.147,155.397,159.499
Q5,perfect,5,0,5,160.004,155.662,150.942,160.321
Q5,bitmap,5,4,5,250.308,240.184,237.678,245.146
Q9,baseline,5,0,175,354.248,337.705,333.578,343.927
Q9,perfect,5,0,175,317.628,316.217,314.95,318.335
Q9,bitmap,5,4,175,260.307,262.157,258.87,264.664
Q10,baseline,3,0,20,222.998,221.842,221.15,223.114
Q10,perfect,3,0,20,218.162,222.261,217.676,225.02
Q10,bitmap,3,2,20,220.417,224.742,224.439,224.991
