query,mode,hash_join_count,bhj_hits,rows_out,cold_ms,warm_avg_ms,warm_min_ms,warm_max_ms
Q5,baseline,5,0,5,184.097,157.261,152.854,161.895
Q5,perfect,5,0,5,160.634,160.913,159.075,164.452
Q5,bitmap,5,4,5,266.096,263.248,257.526,266.423
Q9,baseline,5,0,175,372.932,352.43,349.79,355.946
Q9,perfect,5,0,175,330.905,331.418,328.626,333.398
Q9,bitmap,5,4,175,282.307,280.596,279.131,282.575
Q10,baseline,3,0,20,222.089,222.693,219.197,228.427
Q10,perfect,3,0,20,222.192,222.901,221.308,224.18
Q10,bitmap,3,2,20,226.888,230.725,230.231,231.145
