query,mode,hash_join_count,bhj_hits,rows_out,cold_ms,warm_avg_ms,warm_min_ms,warm_max_ms
Q5,baseline,5,0,5,180.571,154.064,149.197,158.191
Q5,perfect,5,0,5,155.072,153.286,152.894,153.649
Q5,bitmap,5,4,5,157.303,151.892,146.73,156.306
Q9,baseline,5,0,175,366.006,343.724,343.016,345.005
Q9,perfect,5,0,175,320.54,320.887,319.297,321.833
Q9,bitmap,5,4,175,285.284,278.535,276.917,280.911
Q10,baseline,3,0,20,217.695,220.266,219.54,221.543
Q10,perfect,3,0,20,219.048,221.433,218.545,226.011
Q10,bitmap,3,2,20,228.76,231.395,228.694,235.518
