query,mode,hash_join_count,bhj_hits,rows_out,cold_ms,warm_avg_ms,warm_min_ms,warm_max_ms
Q5,baseline,5,0,5,181.524,154.838,152.361,159.587
Q5,perfect,5,0,5,157.154,152.404,147.95,155.448
Q5,bitmap,5,4,5,262.305,253.213,248.957,260.478
Q9,baseline,5,0,175,358.729,335.551,332.63,339.614
Q9,perfect,5,0,175,310.558,312.448,310.988,314.74
Q9,bitmap,5,4,175,274.63,272.74,271.899,273.51
Q10,baseline,3,0,20,218.88,220.264,219.761,220.875
Q10,perfect,3,0,20,221.6,220.505,219.34,221.613
Q10,bitmap,3,2,20,229.009,232.438,229.804,233.882
